domain,newsguard_score
nytimes.com,100.0
bbc.co.uk,100.0
theguardian.com,100.0
cnn.com,100.0
washingtonpost.com,100.0
reuters.com,100.0
usatoday.com,100.0
wsj.com,100.0
newyorker.com,100.0
businessinsider.com,100.0
npr.org,100.0
ft.com,100.0
slate.com,100.0
pbs.org,100.0
fivethirtyeight.com,100.0
denverpost.com,100.0
politico.com,100.0
cbsnews.com,100.0
buzzfeed.com,100.0
theverge.com,100.0
vox.com,100.0
washingtonmonthly.com,100.0
fortune.com,100.0
newsweek.com,100.0
realclearpolitics.com,100.0
theamericanconservative.com,100.0
mercurynews.com,100.0
nationalreview.com,100.0
thedailybeast.com,100.0
thehill.com,100.0
abcnews.go.com,95.0
news.yahoo.com,95.0
cnbc.com,95.0
washingtonexaminer.com,92.5
theatlantic.com,92.5
dailysignal.com,92.5
chicago.suntimes.com,92.5
thinkprogress.org,90.0
foreignpolicy.com,87.5
motherjones.com,87.5
rawstory.com,87.5
alternet.org,87.5
bearingarms.com,87.5
talkingpointsmemo.com,87.5
huffpost.com,87.5
theintercept.com,87.5
independent.co.uk,87.5
salon.com,87.5
nypost.com,82.5
investors.com,82.5
msnbc.com,82.5
crooksandliars.com,82.5
observer.com,80.0
politicususa.com,77.5
foxnews.com,75.0
nydailynews.com,75.0
dailycaller.com,70.0
mediamatters.org,70.0
newsbusters.org,69.5
cnsnews.com,67.5
breitbart.com,57.0
dailykos.com,54.5
aljazeera.com,52.0
therightscoop.com,47.5
instapundit.com,42.0
theblaze.com,40.0
americanindependent.com,34.5
westernjournal.com,32.5
rt.com,32.5
drudgereport.com,29.5
infowars.com,25.0
palmerreport.com,25.0
liveaction.org,22.5
thegatewaypundit.com,20.0
gellerreport.com,20.0
theantimedia.org,20.0
theduran.com,17.5
frontpagemag.com,17.5
theconservativetreehouse.com,17.5
bipartisanreport.com,17.5
dailymail.co.uk,15.0
naturalnews.com,12.5
truepundit.com,12.5
sputniknews.com,7.5
ajc.com,7.5
