source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating,nela_gt_label
9news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
nbc11news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
12news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
wibw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
wifr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
247wallst.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
24ur.com,slovenia,least biased,mixed,moderate freedom,website,high traffic,high credibility,mixed
38north.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
audacy.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
join1440.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
abc7chicago.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
abc7ny.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
abc12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
abs-cbn.com,philippines,least biased,high,limited freedom,tv station,high traffic,high credibility,reliable
actionnewsjax.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
adfontesmedia.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
lenconnect.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
adweek.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility,reliable
africacheck.org,south africa,least biased,very high,mostly free,website,medium traffic,high credibility,reliable
agdaily.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
afp.com,france,least biased,high,mostly free,news agency,high traffic,high credibility,reliable
ansa.it,italy,least biased,high,moderate freedom,news agency,high traffic,high credibility,reliable
agerpres.ro,romania,least biased,high,moderate freedom,news agency,medium traffic,high credibility,reliable
agweb.com,usa,right-center,high,mostly free,journal,medium traffic,high credibility,reliable
ahwatukee.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
airforcetimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
airwars.org,united kingdom,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
alabamanow.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
alreporter.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
democratherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
ad.nl,netherlands,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
allafrica.com,south africa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
gmfus.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
alloaadvertiser.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
thealpenanews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
amarillo.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
americanheritage.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
americanpressinstitute.org,usa,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
amomama.com,cyprus,least biased,high,mostly free,website,high traffic,high credibility,reliable
adn.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
independentmail.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
andoveradvertiser.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
mlive.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
arcdigital.media,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
ardrossanherald.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
arirang.com,south korea,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
armytimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
arstechnica.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
asiatimes.com,hong kong,least biased,high,limited freedom,newspaper,medium traffic,high credibility,reliable
summitdaily.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
athensmessenger.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
atlasobscura.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
auburnpub.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
aap.com.au,australia,least biased,high,mostly free,news agency,medium traffic,high credibility,reliable
avenuenews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
ayradvertiser.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
azfamily.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility,reliable
babnet.net,tunisia,least biased,mixed,moderate freedom,website,medium traffic,medium credibility,mixed
ballotpedia.org,usa,least biased,very high,mostly freedom,organization/foundation,high traffic,high credibility,reliable
barrheadnews.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
barryanddistrictnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
basingstokegazette.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
mlive.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
beatricedailysun.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bnd.com,usa,right-center,high,mostly free,website,medium traffic,high credibility,reliable
benzinga.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
bestlifeonline.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility,mixed
bettergov.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
bicesteradvertiser.net,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bigcountry995.com,usa,least biased,high,mostly free,radio station,minimal traffic,high credibility,reliable
bignewsnetwork.com,united arab emirates,least biased,mixed,limited freedom,website,medium traffic,high credibility,mixed
bigthink.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
sunherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
biography.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
